case,section ,level,region,number,width
i49,301,Medial head,CA1,7,14.522852
i49,301,Medial head,CA1,8,15.955173
i49,301,Medial head,CA1,9,16.148569
i49,301,Medial head,CA1,10,19.129158
i49,301,Medial head,ProSub1 (clumpy),1,16.224226
i49,301,Medial head,ProSub1 (clumpy),2,14.202044
i49,301,Medial head,ProSub1 (clumpy),3,14.263896
i49,301,Medial head,ProSub1 (clumpy),4,16.253721
i49,301,Medial head,ProSub1 (clumpy),5,14.349782
i49,301,Medial head,ProSub1 (clumpy),6,16.373623
i49,301,Medial head,ProSub1 (clumpy),7,16.64726
i49,301,Medial head,ProSub1 (clumpy),8,14.95485
i49,301,Medial head,ProSub1 (clumpy),9,14.595403
i49,301,Medial head,ProSub1 (clumpy),10,18.01861
i49,301,Medial head,Prosub2 (smaller),1,14.932655
i49,301,Medial head,Prosub2 (smaller),2,12.137046
i49,301,Medial head,Prosub2 (smaller),3,14.869308
i49,301,Medial head,Prosub2 (smaller),4,14.220392
i49,301,Medial head,Prosub2 (smaller),5,15.058568
i49,301,Medial head,Prosub2 (smaller),6,14.818806
i49,301,Medial head,Prosub2 (smaller),7,15.170003
i49,301,Medial head,Prosub2 (smaller),8,12.321
i49,301,Medial head,Prosub2 (smaller),9,13.08845
i49,301,Medial head,Prosub2 (smaller),10,13.795585
i49,301,Medial head,Subiculum,1,16.80002
i49,301,Medial head,Subiculum,2,14.104947
i49,301,Medial head,Subiculum,3,13.688679
i49,301,Medial head,Subiculum,4,15.943682
i49,301,Medial head,Subiculum,5,14.441413
i49,301,Medial head,Subiculum,6,18.552881
i49,301,Medial head,Subiculum,7,16.93202
i49,301,Medial head,Subiculum,8,18.095522
i49,301,Medial head,Subiculum,9,16.94031
i49,301,Medial head,Subiculum,10,15.01808
i49,261,Anterior head,CA1,1,15.628194
i49,261,Anterior head,CA1,2,16.141888
i49,261,Anterior head,CA1,3,17.478453
i49,261,Anterior head,CA1,4,19.629152
i49,261,Anterior head,CA1,5,15.766059
i49,261,Anterior head,CA1,6,14.502307
i49,261,Anterior head,CA1,7,17.195841
i49,261,Anterior head,CA1,8,17.386724
i49,261,Anterior head,CA1,9,17.492683
i49,261,Anterior head,CA1,10,13.303567
i49,261,Anterior head,ProSub1 (clumpy),1,16.394533
i49,261,Anterior head,ProSub1 (clumpy),2,16.332281
i49,261,Anterior head,ProSub1 (clumpy),3,14.404095
i49,261,Anterior head,ProSub1 (clumpy),4,14.95532
i49,261,Anterior head,ProSub1 (clumpy),5,17.783331
i49,261,Anterior head,ProSub1 (clumpy),6,15.52085
i49,261,Anterior head,ProSub1 (clumpy),7,15.548466
i49,261,Anterior head,ProSub1 (clumpy),8,12.559052
i49,261,Anterior head,ProSub1 (clumpy),9,14.244891
i49,261,Anterior head,ProSub1 (clumpy),10,15.138384
i49,261,Anterior head,Prosub2 (smaller),1,14.882961
i49,261,Anterior head,Prosub2 (smaller),2,18.464588
i49,261,Anterior head,Prosub2 (smaller),3,14.150726
i49,261,Anterior head,Prosub2 (smaller),4,12.71211
i49,261,Anterior head,Prosub2 (smaller),5,13.837486
i49,261,Anterior head,Prosub2 (smaller),6,15.415799
i49,261,Anterior head,Prosub2 (smaller),7,15.963354
i49,261,Anterior head,Prosub2 (smaller),8,12.981773
i49,261,Anterior head,Prosub2 (smaller),9,17.402634
i49,261,Anterior head,Prosub2 (smaller),10,13.820752
i49,261,Anterior head,Subiculum,1,19.020288
i49,261,Anterior head,Subiculum,2,17.846628
i49,261,Anterior head,Subiculum,3,14.59834
i49,261,Anterior head,Subiculum,4,18.184614
i49,261,Anterior head,Subiculum,5,15.66325
i49,261,Anterior head,Subiculum,6,15.518992
i49,261,Anterior head,Subiculum,7,15.508456
i49,261,Anterior head,Subiculum,8,13.905782
i49,261,Anterior head,Subiculum,9,15.765786
i49,261,Anterior head,Subiculum,10,15.944654
